http://dbpedia.org/property/ethnicity,count,adjective
http://dbpedia.org/resource/Arabs,61,arabic
http://dbpedia.org/resource/Arab,61,arabic
http://dbpedia.org/resource/Netherlands,45,dutch
http://dbpedia.org/resource/Yi_people,43,
,37,
Arab,24,
"Italians as ""made men"" and other ethnicities as associates",23,
http://dbpedia.org/resource/Hani_people,21,
http://dbpedia.org/resource/Germans,19,german
http://dbpedia.org/resource/Indian_people,19,indian
http://dbpedia.org/resource/Persian_people,18,persian
http://dbpedia.org/resource/Arab_people,17,arabic
http://dbpedia.org/resource/Italians,17,italian
http://dbpedia.org/resource/English_people,16,english
http://dbpedia.org/resource/Bamileke_people,15,
http://dbpedia.org/resource/Serbs,14,serb
http://dbpedia.org/resource/French_people,14,french
http://dbpedia.org/resource/Croats,13,croat
http://dbpedia.org/resource/Chinese_people,13,chinese
http://dbpedia.org/resource/Slovenes,13,slovenian
http://dbpedia.org/resource/Hausa_people,12,
http://dbpedia.org/resource/Mexican_Americans,12,mexican american
Jewish,12,
http://dbpedia.org/resource/Americans,11,american
http://dbpedia.org/resource/Pashtuns,11,pashturn
http://dbpedia.org/resource/Tangkhul_Naga_people,11,
2000,11,
http://dbpedia.org/resource/Irish_people,11,irish
http://dbpedia.org/resource/White_Americans,10,white american
Asian,10,asian
http://dbpedia.org/resource/Punjabis,10,
5000,10,
http://dbpedia.org/resource/Chinantecs,10,
http://dbpedia.org/resource/Bhil_people,10,
1000,9,
http://dbpedia.org/resource/Berbers,9,berber
http://dbpedia.org/resource/Hungarians,9,hungarian
German,9,german
http://dbpedia.org/resource/Mexican_people,9,meixan
spoken by 40%,9,
500,9,italian
Italian,8,
1500,8,italian
Indian,8,
http://dbpedia.org/resource/Chechens,8,chechenian
http://dbpedia.org/resource/Odia_people,8,
http://dbpedia.org/resource/Somali_people,8,somali
Primarily African American,8,
http://dbpedia.org/resource/Circassians,8,
http://dbpedia.org/resource/Armenians,8,armenian
Japanese,8,
http://dbpedia.org/resource/African_American,7,african american
Iranian,7,
3000,7,
10000,7,
http://dbpedia.org/resource/Aeta,7,
http://dbpedia.org/resource/Dutch_people,7,dutch
http://dbpedia.org/resource/Albanians,7,albanian
http://dbpedia.org/resource/United_States,7,american
http://dbpedia.org/resource/Han_Chinese,7,
